

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2014          Hasta fecha:31/12/2014          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        04/Feb/2014      2436         3118anc. factura         yanah           17.00             13.75         233.75 
        02/Ene/2014      2622         2724entas                klaus         -16.00              20.00       -320.00 
        02/Ene/2014      2624         2726entas                phan          -35.00              17.00       -595.00 
        02/Ene/2014      2625         2727entas                pepe          -10.00              17.00       -170.00 
        02/Ene/2014      2626         2728entas                pdivi         -27.00              17.00       -459.00 
        15/Ene/2014      2627         2899anc. factura         phoc            50.00             17.00         850.00 
        02/Ene/2014      2627         2729entas                phoc          -50.00              17.00       -850.00 
        02/Ene/2014      2628         2730entas                abyss           -6.00             20.00       -120.00 
        01/Feb/2014      2630         2732entas                dietz         -10.00              22.00       -220.00 
        03/Ene/2014      2631         2733entas                klaus           -3.00             20.00         -60.00 
        03/Ene/2014      2632         2734entas                raul            -2.00             20.00         -40.00 
        03/Ene/2014      2633         2735entas                stvbo           -2.00             22.00         -44.00 

        03/Ene/2014      2634         2736entas                phan          -33.00              17.00       -561.00 
        03/Ene/2014      2635         2737entas                pepe          -25.00              17.00       -425.00 
        03/Ene/2014      2636         2738entas                pdivi         -26.00              17.00       -442.00 
        03/Ene/2014      2637         2739entas                phoc          -61.00              17.00       -1,037.00 
        15/Ene/2014      2637         2901anc. factura         phoc            61.00             17.00       1,037.00 
        03/Ene/2014      2638         2740entas              MOSTR             -2.00             22.00         -44.00 
        04/Ene/2014      2639         2741entas                stvbo           -6.00             22.00       -132.00 
        04/Ene/2014      2641         2743entas                miche           -6.00             22.00       -132.00 
        04/Ene/2014      2642         2744entas                ander           -8.00             22.00       -176.00 
        04/Ene/2014      2644         2746entas                phili           -5.00             25.00       -125.00 
        04/Ene/2014      2645         2747entas                pepe          -19.00              17.00       -323.00 
        04/Ene/2014      2646         2748entas                pdivi           -8.00             17.00       -136.00 
        15/Ene/2014      2647         2903anc. factura         phoc            34.00             17.00         578.00 

        04/Ene/2014      2647         2749entas                phoc          -34.00              17.00       -578.00 
        04/Ene/2014      2648         2750entas                abyss         -13.00              20.00       -260.00 
        05/Ene/2014      2649         2751entas                acuat         -50.00              22.00       -1,100.00 
        05/Ene/2014      2651         2753entas                stvbo           -5.00             22.00       -110.00 
        05/Ene/2014      2653         2755entas              MOSTR           -10.00              25.00       -250.00 
        05/Ene/2014      2654         2756entas                trist           -5.00             22.00       -110.00 
        05/Ene/2014      2655         2757entas                phoc          -23.00              17.00       -391.00 
        15/Ene/2014      2655         2905anc. factura         phoc            23.00             17.00         391.00 
        05/Ene/2014      2656         2758entas                pdivi         -12.00              17.00       -204.00 
        06/Ene/2014      2657         2759entas                acuat         -48.00              22.00       -1,056.00 
        06/Ene/2014      2660         2762entas                stvbo           -5.00             22.00       -110.00 
        06/Ene/2014      2661         2763entas                trist           -7.00             22.00       -154.00 
        06/Ene/2014      2664         2766entas                luisr           -2.00             20.00         -40.00 
        06/Ene/2014      2665         2767entas                klaus           -4.00             20.00         -80.00 

        06/Ene/2014      2666         2768entas                raul            -2.00             20.00         -40.00 
        06/Ene/2014      2667         2769entas                pepe          -14.00              17.00       -238.00 
        06/Ene/2014      2668         2770entas                pdivi         -11.00              17.00       -187.00 
        06/Ene/2014      2669         2771entas                phoc          -48.00              17.00       -816.00 
        15/Ene/2014      2669         2907anc. factura         phoc            48.00             17.00         816.00 
        06/Ene/2014      2670         2772entas                phan          -20.00              17.00       -340.00 
        07/Ene/2014      2671         2773entas                acuat         -79.00              22.00       -1,738.00 
